gutenberg_id,title,author,gutenberg_author_id,language,gutenberg_bookshelf,rights,has_text
507,Adam Bede,"Eliot, George",90,en,Historical Fiction/Banned Books from Anne Haight's list/Category: Novels/Category: British Literature,Public domain in the USA.,TRUE
512,Mosses from an old manse,"Hawthorne, Nathaniel",28,en,"Gothic Fiction/Category: Essays, Letters & Speeches/Category: American Literature",Public domain in the USA.,TRUE
517,The Emerald City of Oz,"Baum, L. Frank (Lyman Frank)",42,en,Children's Literature/Fantasy/Category: Children & Young Adult Reading/Category: Science-Fiction & Fantasy/Category: Novels,Public domain in the USA.,TRUE
520,The Life and Adventures of Santa Claus,"Baum, L. Frank (Lyman Frank)",42,en,"Children's Literature/Christmas/Category: Children & Young Adult Reading/Category: Adventure/Category: Novels/Category: Mythology, Legends & Folklore/Category: American Literature",Public domain in the USA.,TRUE
544,Anne's House of Dreams,"Montgomery, L. M. (Lucy Maud)",36,en,Canada/Children's Literature/Category: Children & Young Adult Reading/Category: Novels/Category: British Literature,Public domain in the USA.,TRUE
547,Baron Trigault's Vengeance,"Gaboriau, Emile",172,en,"Detective Fiction/Category: Crime, Thrillers and Mystery/Category: Novels/Category: French Literature",Public domain in the USA.,TRUE
557,Puck of Pook's Hill,"Kipling, Rudyard",132,en,"Scouts/Children's Literature/Category: Children & Young Adult Reading/Category: Science-Fiction & Fantasy/Category: Mythology, Legends & Folklore/Category: British Literature/Nobel Prizes in Literature",Public domain in the USA.,TRUE
558,The Thirty-Nine Steps,"Buchan, John",285,en,"Adventure/Mystery Fiction/Movie Books/Category: Crime, Thrillers and Mystery/Category: Adventure/Category: Novels/Category: British Literature",Public domain in the USA.,TRUE
559,Greenmantle,"Buchan, John",285,en,"World War I/Adventure/Mystery Fiction/Movie Books/Category: Crime, Thrillers and Mystery/Category: Adventure/Category: Novels/Category: British Literature",Public domain in the USA.,TRUE
564,The Mystery of Edwin Drood,"Dickens, Charles",37,en,"Mystery Fiction/Category: Crime, Thrillers and Mystery/Category: Novels/Category: Classics of Literature/Category: British Literature",Public domain in the USA.,TRUE
583,The Woman in White,"Collins, Wilkie",98,en,"Mystery Fiction/Category: Crime, Thrillers and Mystery/Category: Novels/Category: British Literature",Public domain in the USA.,TRUE
589,Catriona,"Stevenson, Robert Louis",35,en,Adventure/Historical Fiction/Category: Historical Novels/Category: Romance/Category: Adventure/Category: Novels/Category: British Literature,Public domain in the USA.,TRUE
599,Vanity Fair,"Thackeray, William Makepeace",313,en,Historical Fiction/Harvard Classics/Category: Novels/Category: Classics of Literature/Category: British Literature,Public domain in the USA.,TRUE
601,The Monk: A Romance,"Lewis, M. G. (Matthew Gregory)",315,en,Best Books Ever Listings/Gothic Fiction/Category: Romance/Category: Novels/Category: Classics of Literature/Category: British Literature,Public domain in the USA.,TRUE
604,Gulliver of Mars,"Arnold, Edwin Lester",317,en,Science Fiction/Fantasy/Category: Science-Fiction & Fantasy/Category: Adventure/Category: Novels,Public domain in the USA.,TRUE
624,"Looking Backward, 2000 to 1887","Bellamy, Edward",327,en,Science Fiction/Category: Science-Fiction & Fantasy/Category: Novels/Category: American Literature,Public domain in the USA.,TRUE
678,The Cricket on the Hearth: A Fairy Tale of Home,"Dickens, Charles",37,en,Children's Literature/Category: Novels/Category: British Literature,Public domain in the USA.,TRUE
696,The Castle of Otranto,"Walpole, Horace",358,en,Gothic Fiction/Category: Novels/Category: Classics of Literature/Category: British Literature,Public domain in the USA.,TRUE
706,The Amateur Cracksman,"Hornung, E. W. (Ernest William)",364,en,"Crime Fiction/Category: Short Stories/Category: Crime, Thrillers and Mystery/Category: British Literature",Public domain in the USA.,TRUE
707,Raffles: Further Adventures of the Amateur Cracksman,"Hornung, E. W. (Ernest William)",364,en,"Crime Fiction/Category: Short Stories/Category: Crime, Thrillers and Mystery/Category: British Literature",Public domain in the USA.,TRUE
708,The Princess and the Goblin,"MacDonald, George",127,en,Children's Literature/Category: Children & Young Adult Reading/Category: Science-Fiction & Fantasy/Category: Adventure,Public domain in the USA.,TRUE
